Country,RevenueWon,Eplayers
China,16006768,1079
United States,14780563,2823
Korea,12051020,920
Denmark,5012481,355
Germany,4785442,594
Sweden,4701711,604
Finland,3945930,312
France,3635286,665
Russian Federation,3522062,519
Brazil,3317572,702
Ukraine,2780353,149
Jordan,2735012,20
Canada,2715779,504
United Kingdom,2670527,534
Bulgaria,2631637,85
Australia,2474279,568
Lebanon,2447612,22
Poland,2350463,574
Philippines,2113994,155
Taiwan,1191508,188
Malaysia,1126764,159
Netherlands,993466,188
Norway,718716,140
Japan,714657,217
Kazakhstan,627506,50
Vietnam,616934,212
Spain,595714,267
Macao,560162,2
Mexico,538857,85
Israel,471756,53
Estonia,458904,65
Slovakia,447625,58
Turkey,444611,134
Italy,406488,149
Belarus,385823,59
Peru,385137,88
Thailand,367676,158
Singapore,365293,159
Bosnia and Herzegovina,335641,11
Belgium,260266,94
Pakistan,256650,3
Dominican Republic,256185,5
Czech Republic,251134,90
South Africa,241409,159
Croatia,232211,51
Romania,211249,69
Chile,208532,96
Argentina,195131,142
Indonesia,187680,132
Hong Kong,185011,95
New Zealand,170973,73
Austria,168848,80
Serbia,161308,71
Greece,157729,69
Portugal,145469,148
Ireland,123693,21
Hungary,120055,95
Saudi Arabia,103261,9
Switzerland,98596,67
Lithuania,82668,68
India,82061,135
Latvia,78576,75
Macedonia The Former Yugoslav Republic of,78073,4
Puerto Rico,71927,15
Slovenia,53040,19
United Arab Emirates,46366,25
Colombia,44635,25
Algeria,32435,14
Mongolia,32097,28
Iraq,28171,9
Montenegro,27550,2
Bahrain,26195,2
Uruguay,20353,13
Kyrgyzstan,15649,14
Iceland,14682,27
Moldova Republic of,14654,4
Armenia,13994,4
Morocco,13443,12
Venezuela,9035,40
Nicaragua,8860,1
Kuwait,8151,13
Egypt,8132,11
Tunisia,7292,12
Cambodia,5416,5
Cameroon,4922,1
Gibraltar,4500,1
Malta,3693,33
Sri Lanka,3664,16
Uzbekistan,3513,3
Ecuador,3264,4
Georgia,3257,27
Albania,2869,2
El Salvador,2800,5
Guatemala,1635,9
Bolivia,1609,1
Azerbaijan,1600,4
Syrian Arab Republic,1226,2
Bangladesh,936,10
Kosovo Republic of,835,1
Cuba,770,1
Iran Islamic Republic of,731,10
Palestinian Territory Occupied,660,3
Kenya,576,1
Madagascar,458,1
Panama,358,2
Lao Peoples Democratic Republic,233,1
Ethiopia,140,1
Andorra,140,1
Trinidad and Tobago,137,1
Luxembourg,119,2
New Caledonia,113,1
Bahamas,66,1
Costa Rica,50,1
French Polynesia,45,1
Cyprus,34,1
Faroe Islands,12,1
