Country,Population,InternetPopulation,TotalRevenue
China,1410,814,32536
United States of America,324,260,25426
Japan,127,121,14048
Germany,82,74,4430
United Kingdom,66,62,4238
Korea,51,47,4203
France,65,57,2977
Canada,37,33,1968
Spain,46,39,1918
Italy,59,43,1531
Russian Federation,144,114,1531
Mexico,129,83,1418
Brazil,209,139,1324
Australia,24,22,1242
Taiwan,24,21,1030
Indonesia,264,72,882
India,1339,428,819
Turkey,81,49,774
Saudi Arabia,33,25,645
Thailand,69,32,600
Malaysia,31,24,589
Netherlands,17,16,570
Poland,38,28,504
Iran Islamic Republic of,81,42,424
Argentina,44,33,420
Sweden,10,9,414
Switzerland,8,8,411
Vietnam,96,57,367
Austria,9,8,355
Philippines,105,50,355
Belgium,11,10,332
Singapore,6,5,318
Norway,5,5,306
Colombia,49,31,291
United Arab Emirates,9,9,276
Portugal,10,8,270
China Hong Kong SAR,7,7,265
Denmark,6,6,259
Ireland,5,4,242
Finland,6,5,224
Egypt,98,42,205
Ukraine,44,25,195
Venezuela Bolivarian Republic of,32,22,189
Chile,18,13,181
Nigeria,191,105,168
Kazakhstan,18,14,164
Romania,20,12,163
Czech Republic,11,9,154
Qatar,3,3,144
Greece,11,8,142
Peru,32,16,138
Pakistan,197,45,134
Israel,8,7,123
South Africa,57,34,118
Kuwait,4,4,117
Hungary,10,8,114
Algeria,41,19,104
Myanmar,53,14,90
Morocco,36,23,86
Oman,5,4,81
Slovakia,5,5,79
Iraq,38,8,79
Bangladesh,165,30,77
Azerbaijan,10,8,77
Serbia,9,6,77
Belarus,9,7,73
Ecuador,17,9,73
Uzbekistan,32,16,72
New Zealand,5,4,72
Bulgaria,7,5,56
Syrian Arab Republic,18,7,51
Croatia,4,3,50
Lebanon,6,5,50
Dominican Republic,11,6,49
Luxembourg,1,1,46
Puerto Rico,4,3,46
Sri Lanka,21,8,44
Jordan,10,6,44
Lithuania,3,2,43
Bolivia Plurinational State of,11,6,36
Bahrain,1,1,35
Macao,1,1,33
Slovenia,2,2,32
Uruguay,3,2,32
Guatemala,17,6,31
Cuba,11,4,31
Kenya,50,26,30
Costa Rica,5,3,30
Tunisia,12,6,30
Panama,4,2,29
Latvia,2,2,28
Bosnia and Herzegovina,4,3,26
Paraguay,7,4,25
Albania,3,2,23
Estonia,1,1,22
Brunei Darussalam,0,0,20
TFYR Macedonia,2,2,19
Cambodia,16,4,17
Iceland,0,0,16
Cyprus,1,1,15
