Prize_Games,Tourney,Prize,Participants,Teams
Arena of Valor,AoV International Championship 2017,440000,0,8
Blade  Soul,Blade  Soul 2017 World Championship,149772,24,18
Call Of Duty,Call of Duty XP Championship 2016,2000000,127,32
Clash Royale,CRCC World Finals,400000,16,0
CounterStrike Global Offensive,WESG 2017 CSGO Male,1500000,80,16
Crossfire,CFS 2017,850000,20,4
Dead or Alive 4,CGS 2007 DoA4,216000,22,12
Doom 3,ACOM Fatal1ty Shootout,120748,1,0
DOTA2,The International 2017,24687919,90,18
FIFA 17,EA Champions Cup Winter 2016,500000,30,13
Forza Motorsport 2,CGS 2008 Forza Motorsport 2,207000,16,9
Gears of War 4,Gears Pro Circuit Dallas Open,300000,46,12
H1Z1,H1Z1 Fight for the Crown,300000,25,5
HALO5,Halo World Championship 2016,2500000,64,16
Hearthstone,BlizzCon 2016 Hearthstone,1000000,16,0
Heroes of Newerth,HON Pre Season of Professional League 2015,236185,20,4
Heroes of the Storm,BlizzCon 2016 Heroes,1000000,60,12
Injustice 2,ELEAGUE Injustice 2 World Championship 2017,220000,16,0
League Of Legends,LoL 2016 World Championship,5070000,86,16
Madden NFL 2017,Madden Championship 2017,500000,32,0
MechWarrior Online,MechWarrior Online World Championship 2016,143490,0,3
Mortal Kombat X,ESL MKX Pro League Season 3 Finals,200000,8,0
OverWatch,Overwatch Open,300000,96,16
Painkiller,CPL World Tour Finals 2005,510000,32,0
Paladins,Paladins HRX Invitational 2017,150000,40,8
PLAYERUNKNOWNS BATTLEGROUNDS,IEM XII  Oakland PUBG,200000,32,8
Pro Evolution Soccer 2017,PES 2017 World Finals,350000,3,0
Project Gotham Racing 3,CGS 2007 PGR3,191000,22,11
Quake Champions,Quake World Championship 2017 Sacrifice Tournament,660000,32,8
Rainbow Six Siege,Six Invitational 2018,500000,80,16
rFactor2,2017 Las Vegas eRace,1000000,30,0
Rocket League,RLCS Season 3 Finals,150000,31,10
Smite,Smite World Championship 2015,2612259,40,8
StarCraft Brood War,GOMTV MSL 2 2007,126451,32,0
StarCraft II,WCS 2017 Global Finals,700000,16,0
Street Fighter V,Capcom Cup 2017,380000,32,0
Turbo Racing League,Turbo Racing League 1000000 ShellOut Final Race,500000,8,0
Ultra Street Fighter IV,Capcom Cup 2015,250000,8,0
Vain Glory,2016 World Championship,120000,36,12
World in Conflict,CPL World Tour Finals 2007 World in Conflict,200000,20,8
World of Tanks,World Cyber Arena 2015 WoT,308494,14,4
World of WarCraft,BlizzCon 2017 WoW,280000,48,12
