Sentiment_Games,Positive_Sentiments,Negative_Sentiments,Total
Arena of Valor,209,9,218
Call Of Duty,184,20,204
Clash Royale,49,56,105
CounterStrike Global Offensive,199,2,201
Crossfire,120,44,164
Doom 3,20,248,268
DOTA2,19,0,19
FIFA 17,68,7,75
Fortnite,87,93,180
Gears of War 4,88,9,97
H1Z1,126,28,154
HALO5,188,7,195
Hearthstone,168,5,173
Heroes of the Storm,199,8,207
Injustice 2,70,84,154
League Of Legends,111,4,115
Madden NFL 2017,127,16,143
OverWatch,171,12,183
Paladins,158,54,212
PLAYERUNKNOWNS BATTLEGROUNDS,308,11,319
Pro Evolution Soccer 2017,109,14,123
Quake Champions,92,46,138
rFactor2,34,0,34
Rocket League,114,15,129
Smite,158,60,218
StarCraft II,151,5,156
StarCraft Brood War,176,14,190
Vain Glory,123,13,136
World of Tanks,102,30,132
World of WarCraft,164,12,176
